Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
8/18/2015,116.43,117.440002,116.010002,116.5,107.853416,34560700
8/19/2015,116.099998,116.519997,114.68,115.010002,106.474007,48286500
8/20/2015,114.080002,114.349998,111.629997,112.650002,104.289146,68501600
8/21/2015,110.43,111.900002,105.650002,105.760002,97.910515,128275500
8/24/2015,94.870003,108.800003,92,103.120003,95.466469,162206300
8/25/2015,111.110001,111.110001,103.5,103.739998,96.040459,103601600
8/26/2015,107.089996,109.889999,105.050003,109.690002,101.548851,96774600
8/27/2015,112.230003,113.239998,110.019997,112.919998,104.539131,84616100
8/28/2015,112.169998,113.309998,111.540001,113.290001,104.881653,53164400
8/31/2015,112.029999,114.529999,112,112.760002,104.390999,56229300
9/1/2015,110.150002,111.879997,107.360001,107.720001,99.72506,76845900
9/2/2015,110.230003,112.339996,109.129997,112.339996,104.002151,61888800
9/3/2015,112.489998,112.779999,110.040001,110.370003,102.178383,53233900
9/4/2015,108.970001,110.449997,108.510002,109.269997,101.160019,49996300
9/8/2015,111.75,112.559998,110.32,112.309998,103.974388,54843600
9/9/2015,113.760002,114.019997,109.769997,110.150002,101.974693,85010800
9/10/2015,110.269997,113.279999,109.900002,112.57,104.21508,62892800
9/11/2015,111.790001,114.209999,111.760002,114.209999,105.733368,49915500
9/14/2015,116.580002,116.889999,114.860001,115.309998,106.751709,58363400
9/15/2015,115.93,116.529999,114.419998,116.279999,107.649734,43341200
9/16/2015,116.25,116.540001,115.440002,116.410004,107.770096,37173500
9/17/2015,115.660004,116.489998,113.720001,113.919998,105.464905,64112600
9/18/2015,112.209999,114.300003,111.870003,113.449997,105.02977,74285300
9/21/2015,113.669998,115.370003,113.660004,115.209999,106.659157,50222000
9/22/2015,113.379997,114.18,112.519997,113.400002,104.98349,50346200
9/23/2015,113.629997,114.720001,113.300003,114.32,105.835205,35756700
9/24/2015,113.25,115.5,112.370003,115,106.464729,50219500
9/25/2015,116.440002,116.690002,114.019997,114.709999,106.196243,56151900
9/28/2015,113.849998,114.57,112.440002,112.440002,104.094742,52109000
9/29/2015,112.830002,113.510002,107.860001,109.059998,100.965599,73365400
9/30/2015,110.169998,111.540001,108.730003,110.300003,102.113564,66473000
10/1/2015,109.07,109.620003,107.309998,109.580002,101.447006,63929100
10/2/2015,108.010002,111.010002,107.550003,110.379997,102.187614,58019800
10/5/2015,109.879997,111.370003,109.07,110.779999,102.557945,52064700
10/6/2015,110.629997,111.739998,109.769997,111.309998,103.048599,48196800
10/7/2015,111.739998,111.769997,109.410004,110.779999,102.557945,46765600
10/8/2015,110.190002,110.190002,108.209999,109.5,101.37294,61979600
10/9/2015,110,112.279999,109.489998,112.120003,103.798492,52766100
10/12/2015,112.730003,112.75,111.440002,111.599998,103.317093,30467200
10/13/2015,110.82,112.449997,110.68,111.790001,103.492973,33049300
10/14/2015,111.290001,111.519997,109.559998,110.209999,102.030258,44462400
10/15/2015,110.93,112.099998,110.489998,111.860001,103.557793,37673500
10/16/2015,111.779999,112,110.529999,111.040001,102.798645,39232600
10/19/2015,110.800003,111.75,110.110001,111.730003,103.437447,29759200
10/20/2015,111.339996,114.169998,110.82,113.769997,105.326027,48967800
10/21/2015,114,115.580002,113.699997,113.760002,105.31678,41795200
10/22/2015,114.330002,115.5,114.099998,115.5,106.927628,41654100
10/23/2015,116.699997,119.230003,116.330002,119.080002,110.241913,59366900
10/26/2015,118.080002,118.129997,114.919998,115.279999,106.723946,66333800
10/27/2015,115.400002,116.540001,113.989998,114.550003,106.048149,69884400
10/28/2015,116.93,119.300003,116.059998,119.269997,110.417809,85551400
10/29/2015,118.699997,120.690002,118.269997,120.529999,111.584305,51227300
10/30/2015,120.989998,121.220001,119.449997,119.5,110.630745,49365300
11/2/2015,120.800003,121.360001,119.610001,121.18,112.186066,32203300
11/3/2015,120.790001,123.489998,120.699997,122.57,113.472885,45519000
11/4/2015,123.129997,123.82,121.620003,122,112.945198,44886100
11/5/2015,121.849998,122.690002,120.18,120.919998,112.42453,39552700
11/6/2015,121.110001,121.809998,120.620003,121.059998,112.554688,33042300
11/9/2015,120.959999,121.809998,120.050003,120.57,112.099144,33871400
11/10/2015,116.900002,118.07,116.059998,116.769997,108.566086,59127900
11/11/2015,116.370003,117.419998,115.209999,116.110001,107.952477,45218000
11/12/2015,116.260002,116.82,115.650002,115.720001,107.589859,32525600
11/13/2015,115.199997,115.57,112.269997,112.339996,104.447342,45812400
11/16/2015,111.379997,114.239998,111,114.18,106.158073,38106700
11/17/2015,114.919998,115.050003,113.32,113.690002,105.702499,27616900
11/18/2015,115.760002,117.489998,115.5,117.290001,109.049568,46674700
11/19/2015,117.639999,119.75,116.760002,118.779999,110.434891,43295800
11/20/2015,119.199997,119.919998,118.849998,119.300003,110.91835,34287100
